"1" "id" "timestamp" "is_buy" "stockid" "price" "amount" "is_real"
"2" "388" "2014-08-26 09:52:11" "0" "sh600017" "3.11" "6400" "1"
"3" "391" "2014-08-27 14:55:04" "1" "sh600017" "2.98" "6400" "1"
"4" "412" "2014-09-01 11:16:18" "0" "sh600017" "2.97" "6700" "1"
"5" "428" "2014-09-02 14:55:03" "1" "sh600017" "3.21" "6700" "1"
"6" "509" "2014-09-11 09:54:03" "0" "sh600017" "3.5" "5700" "1"
"7" "518" "2014-09-12 14:55:03" "1" "sh600017" "3.55" "5700" "1"
"8" "538" "2014-09-15 09:41:47" "0" "sh600017" "3.61" "5500" "1"
"9" "552" "2014-09-16 14:55:04" "1" "sh600017" "3.36" "5500" "1"
"10" "563" "2014-09-18 09:32:58" "0" "sh600017" "3.5" "5700" "1"
"11" "569" "2014-09-19 14:55:01" "1" "sh600017" "3.46" "5700" "1"
"12" "582" "2014-09-22 09:37:14" "0" "sh600017" "3.47" "5800" "1"
"13" "599" "2014-09-23 14:55:02" "1" "sh600017" "3.47" "5800" "1"
"14" "898" "2014-11-04 09:30:11" "0" "sh600017" "4.34" "4600" "1"
"15" "906" "2014-11-05 09:30:40" "1" "sh600017" "4.2" "4600" "1"
"16" "948" "2014-11-10 09:53:03" "0" "sh600017" "4.16" "4800" "1"
"17" "962" "2014-11-11 10:30:33" "1" "sh600017" "4.12" "4800" "1"
"18" "961" "2014-11-11 09:34:36" "0" "sh600017" "4.39" "4600" "1"
"19" "962" "2014-11-11 10:30:33" "1" "sh600017" "4.12" "4800" "1"
"20" "1842" "2015-01-09 09:31:32" "0" "sh600017" "4.72" "4200" "1"
"21" "1868" "2015-01-12 09:35:00" "1" "sh600017" "4.71" "4200" "1"
"22" "1897" "2015-01-13 09:33:17" "0" "sh600017" "4.68" "4300" "1"
"23" "1920" "2015-01-14 09:32:05" "1" "sh600017" "4.66" "4300" "1"
"24" "1913" "2015-01-14 09:51:16" "0" "sh600027" "6.28" "3200" "1"
"25" "1937" "2015-01-15 14:55:01" "1" "sh600027" "6.46" "3200" "1"
"26" "1917" "2015-01-14 10:08:43" "0" "sh600030" "32.73" "600" "1"
"27" "1938" "2015-01-15 14:30:33" "1" "sh600030" "33.35" "600" "1"
"28" "1441" "2014-12-11 09:36:16" "0" "sh600031" "8.7" "2300" "1"
"29" "1462" "2014-12-12 14:55:04" "1" "sh600031" "8.35" "2300" "1"
"30" "1711" "2014-12-29 09:44:34" "0" "sh600031" "10.16" "2000" "1"
"31" "1758" "2015-01-05 14:55:02" "1" "sh600031" "10.01" "2000" "1"
"32" "1738" "2014-12-31 09:37:24" "0" "sh600031" "10.06" "2000" "1"
"33" "1758" "2015-01-05 14:55:02" "1" "sh600031" "10.01" "2000" "1"
"34" "147" "2014-07-21 10:00:22" "0" "sh600199" "7.69" "2600" "1"
"35" "152" "2014-07-22 14:55:02" "1" "sh600199" "7.66" "2600" "1"
"36" "176" "2014-07-25 10:26:20" "0" "sh600199" "7.7" "2600" "1"
"37" "187" "2014-07-28 09:47:52" "1" "sh600199" "8.07" "2600" "1"
"38" "186" "2014-07-28 09:35:00" "0" "sh600199" "7.93" "2500" "1"
"39" "187" "2014-07-28 09:47:52" "1" "sh600199" "8.07" "2600" "1"
"40" "403" "2014-08-29 10:25:20" "0" "sh600199" "9.23" "2200" "1"
"41" "583" "2014-09-22 14:55:03" "1" "sh600199" "8.8" "2200" "1"
"42" "2004" "2015-01-20 09:32:04" "0" "sh600199" "10.4684" "1900" "1"
"43" "2045" "2015-01-21 14:55:01" "1" "sh600199" "10.99" "1900" "1"
"44" "282" "2014-08-11 09:54:00" "0" "sh600209" "8.82" "2300" "1"
"45" "292" "2014-08-12 14:55:02" "1" "sh600209" "8.85" "2300" "1"
"46" "366" "2014-08-21 10:02:47" "0" "sh600209" "9.07" "2200" "1"
"47" "374" "2014-08-22 14:55:04" "1" "sh600209" "9.16" "2200" "1"
"48" "570" "2014-09-19 10:39:48" "0" "sh600209" "9.69" "2100" "1"
"49" "579" "2014-09-22 09:31:33" "1" "sh600209" "10.6314" "2100" "1"
"50" "743" "2014-10-16 11:27:18" "0" "sh600209" "11.03" "1800" "1"
"51" "760" "2014-10-17 14:55:02" "1" "sh600209" "10.3572" "1800" "1"
"52" "758" "2014-10-17 09:43:12" "0" "sh600209" "10.46" "1900" "1"
"53" "760" "2014-10-17 14:55:02" "1" "sh600209" "10.3572" "1800" "1"
